id 0	NA IN DT
id 272	IN RA
id 273	NA OP
id 274	NA OP PB OB
id 275	HI HT
id 276	NA OP SR OB
id 277	NA OP
id 278	HI HT
id 279	ID DF
id 280	ID DF
id 281	IP
id 282	OP OB
id 283	HI HT
id 284	IP DS
id 285	IN
id 286	OP RV
id 287	NA NE
id 288	ID DF
id 289	IP DS
id 290	NA OP PB OB
id 291	IN DT
id 292	OP AV
id 293	IN OP DT AV
id 294	OP ID RV
id 295	ID QA
id 296	IP DS
id 297	HI HT
id 298	ID DF
id 299	NA IN NE
id 300	IN OP IB
id 301	SP IT
id 302	OP RS
id 303	HI
id 304	IP DS
id 305	HI HT
